@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
153,103,28,12,125,0.087591,0.78626,0.895652,0.78626,0.104348,0.837398,0.429104,1.832327,0.697321
154,102,29,12,125,0.087591,0.778626,0.894737,0.778626,0.105263,0.832653,0.425373,1.830454,0.706977
155,101,30,12,125,0.087591,0.770992,0.893805,0.770992,0.106195,0.827869,0.421642,1.828548,0.710103
156,100,31,12,125,0.087591,0.763359,0.892857,0.763359,0.107143,0.823045,0.41791,1.826609,0.72082
157,100,31,11,126,0.080292,0.763359,0.900901,0.763359,0.099099,0.826446,0.414179,1.843064,0.733474
158,99,32,11,126,0.080292,0.755725,0.9,0.755725,0.1,0.821577,0.410448,1.841221,0.756153
159,98,33,11,126,0.080292,0.748092,0.899083,0.748092,0.100917,0.816667,0.406716,1.839344,0.768002
160,97,34,11,126,0.080292,0.740458,0.898148,0.740458,0.101852,0.811715,0.402985,1.837433,0.770443
161,96,35,11,126,0.080292,0.732824,0.897196,0.732824,0.102804,0.806723,0.399254,1.835485,0.778473
162,95,36,11,126,0.080292,0.725191,0.896226,0.725191,0.103774,0.801688,0.395522,1.833501,0.799493
163,94,37,11,126,0.080292,0.717557,0.895238,0.717557,0.104762,0.79661,0.391791,1.831479,0.800757
164,93,38,11,126,0.080292,0.709924,0.894231,0.709924,0.105769,0.791489,0.38806,1.829419,0.803673
165,92,39,11,126,0.080292,0.70229,0.893204,0.70229,0.106796,0.786325,0.384328,1.827318,0.817293
166,92,39,10,127,0.072993,0.70229,0.901961,0.70229,0.098039,0.7897,0.380597,1.845233,0.819113
167,91,40,10,127,0.072993,0.694656,0.90099,0.694656,0.09901,0.784483,0.376866,1.843247,0.821024
168,91,40,9,128,0.065693,0.694656,0.91,0.694656,0.09,0.787879,0.373134,1.861679,0.823554
169,91,40,8,129,0.058394,0.694656,0.919192,0.694656,0.080808,0.791304,0.369403,1.880484,0.825425
170,90,41,8,129,0.058394,0.687023,0.918367,0.687023,0.081633,0.786026,0.365672,1.878797,0.832942
171,89,42,8,129,0.058394,0.679389,0.917526,0.679389,0.082474,0.780702,0.36194,1.877076,0.836124
172,88,43,8,129,0.058394,0.671756,0.916667,0.671756,0.083333,0.77533,0.358209,1.875318,0.844383
173,88,43,7,130,0.051095,0.671756,0.926316,0.671756,0.073684,0.778761,0.354478,1.895058,0.847829
174,87,44,7,130,0.051095,0.664122,0.925532,0.664122,0.074468,0.773333,0.350746,1.893455,0.851867
175,86,45,7,130,0.051095,0.656489,0.924731,0.656489,0.075269,0.767857,0.347015,1.891816,0.853392
176,85,46,7,130,0.051095,0.648855,0.923913,0.648855,0.076087,0.762332,0.343284,1.890143,0.858184
177,84,47,7,130,0.051095,0.641221,0.923077,0.641221,0.076923,0.756757,0.339552,1.888432,0.859765
178,83,48,7,130,0.051095,0.633588,0.922222,0.633588,0.077778,0.751131,0.335821,1.886684,0.863071
179,82,49,7,130,0.051095,0.625954,0.921348,0.625954,0.078652,0.745455,0.33209,1.884896,0.864397
180,81,50,7,130,0.051095,0.618321,0.920455,0.618321,0.079545,0.739726,0.328358,1.883067,0.865021
181,80,51,7,130,0.051095,0.610687,0.91954,0.610687,0.08046,0.733945,0.324627,1.881197,0.865784
182,79,52,7,130,0.051095,0.603053,0.918605,0.603053,0.081395,0.728111,0.320896,1.879283,0.869774
183,78,53,7,130,0.051095,0.59542,0.917647,0.59542,0.082353,0.722222,0.317164,1.877324,0.87349
184,77,54,7,130,0.051095,0.587786,0.916667,0.587786,0.083333,0.716279,0.313433,1.875318,0.883924
185,76,55,7,130,0.051095,0.580153,0.915663,0.580153,0.084337,0.71028,0.309701,1.873264,0.884383
186,76,55,6,131,0.043796,0.580153,0.926829,0.580153,0.073171,0.713615,0.30597,1.896109,0.894684
187,75,56,6,131,0.043796,0.572519,0.925926,0.572519,0.074074,0.707547,0.302239,1.894261,0.894808
188,74,57,6,131,0.043796,0.564885,0.925,0.564885,0.075,0.701422,0.298507,1.892366,0.902059
189,73,58,6,131,0.043796,0.557252,0.924051,0.557252,0.075949,0.695238,0.294776,1.890424,0.909149
190,73,58,5,132,0.036496,0.557252,0.935897,0.557252,0.064103,0.698565,0.291045,1.91466,0.910845
191,72,59,5,132,0.036496,0.549618,0.935065,0.549618,0.064935,0.692308,0.287313,1.912957,0.912992
192,71,60,5,132,0.036496,0.541985,0.934211,0.541985,0.065789,0.68599,0.283582,1.911209,0.917853
193,70,61,5,132,0.036496,0.534351,0.933333,0.534351,0.066667,0.679612,0.279851,1.909415,0.923935
194,69,62,5,132,0.036496,0.526718,0.932432,0.526718,0.067568,0.673171,0.276119,1.907572,0.933213
195,68,63,5,132,0.036496,0.519084,0.931507,0.519084,0.068493,0.666667,0.272388,1.905678,0.935054
196,67,64,5,132,0.036496,0.51145,0.930556,0.51145,0.069444,0.660099,0.268657,1.903732,0.938393
197,66,65,5,132,0.036496,0.503817,0.929577,0.503817,0.070423,0.653465,0.264925,1.901731,0.939719
198,66,65,4,133,0.029197,0.503817,0.942857,0.503817,0.057143,0.656716,0.261194,1.928899,0.942293
199,65,66,4,133,0.029197,0.496183,0.942029,0.496183,0.057971,0.65,0.257463,1.927204,0.94329
200,64,67,4,133,0.029197,0.48855,0.941176,0.48855,0.058824,0.643216,0.253731,1.92546,0.946337
201,63,68,4,133,0.029197,0.480916,0.940299,0.480916,0.059701,0.636364,0.25,1.923664,0.952217
202,62,69,4,133,0.029197,0.473282,0.939394,0.473282,0.060606,0.629442,0.246269,1.921814,0.953025
203,61,70,4,133,0.029197,0.465649,0.938462,0.465649,0.061538,0.622449,0.242537,1.919906,0.95411
204,61,70,3,134,0.021898,0.465649,0.953125,0.465649,0.046875,0.625641,0.238806,1.949905,0.954508
205,60,71,3,134,0.021898,0.458015,0.952381,0.458015,0.047619,0.618557,0.235075,1.948382,0.955183
206,59,72,3,134,0.021898,0.450382,0.951613,0.450382,0.048387,0.611399,0.231343,1.946811,0.955694
207,58,73,3,134,0.021898,0.442748,0.95082,0.442748,0.04918,0.604167,0.227612,1.945188,0.96083
208,57,74,3,134,0.021898,0.435115,0.95,0.435115,0.05,0.596859,0.223881,1.943511,0.960869
209,56,75,3,134,0.021898,0.427481,0.949153,0.427481,0.050847,0.589474,0.220149,1.941778,0.961969
210,55,76,3,134,0.021898,0.419847,0.948276,0.419847,0.051724,0.582011,0.216418,1.939984,0.963761
211,54,77,3,134,0.021898,0.412214,0.947368,0.412214,0.052632,0.574468,0.212687,1.938128,0.964874
212,53,78,3,134,0.021898,0.40458,0.946429,0.40458,0.053571,0.566845,0.208955,1.936205,0.965003
