Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
control_train,4,10,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,242.0,26.0,21.0,5.0,0.0,80.76923076923077,19.23076923076923,0.0,0.6153846153846154,0.2099257108141194,0.3506113306288154,41.98514216282388,70.10107510417106,26.01134415302466,15.414238854662909,10.59710529836175,1.0004363135778715,0.592855340563958,0.4075809730139135,15.417751176733288,0.5929904298743572,59.27318129363367,0.7692307692307693,10.0,0.15384615384615385,2.0,0.8461538461538461,11.0,0.23076923076923078,3.0,0.8333333333333334,0.7692307692307693,0.8,0.6172133998483676,0.9053254437869822,0.917976467976468,0.8076923076923077,0.19230769230769232,0.8076923076923077,0.19230769230769232,0.8095238095238095,0.8076923076923077,0.8074074074074075,0.6172133998483675,0.9053254437869822,0.91448456514246,0.8074074074074074,0.8076923076923077,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,24002.0,3914.0,96.15384615384616,73.07692307692308,?
control_train,5,1,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,22.0,5.0,0.0,81.48148148148148,18.51851851851852,0.0,0.6301369863013697,0.20864678293431907,0.3223083936659931,41.684882546652474,64.36636991017062,27.05773920568317,12.053971738670814,15.003767467012356,1.0021384890993768,0.4464433977285487,0.555695091370828,16.230825263517808,0.6011416764265854,59.98588847404038,0.7857142857142857,11.0,0.15384615384615385,2.0,0.8461538461538461,11.0,0.21428571428571427,3.0,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.6318681318681318,0.9285714285714286,0.9244418280132568,0.8148148148148148,0.18294668294668295,0.8170533170533171,0.18518518518518517,0.8170533170533171,0.8148148148148148,0.8148148148148148,0.631868131868132,0.9285714285714285,0.9358190949694218,0.8148148148148148,0.8148148148148148,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,79.62962962962963,?
control_train,5,2,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,24.0,3.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7768595041322313,0.1617976307456971,0.2846120522573078,32.38420547048562,56.95376588605663,26.978558328936565,11.077075570229121,15.901482758707443,0.9992058640346876,0.41026205815663414,0.5889438058780535,18.80173424308297,0.6963605275215914,69.69139719714627,0.8461538461538461,11.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.15384615384615385,2.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.7790174143548602,0.945054945054945,0.9285076035076036,0.8888888888888888,0.11416361416361417,0.8858363858363858,0.1111111111111111,0.8907407407407406,0.8888888888888888,0.8885823754789272,0.7790174143548602,0.945054945054945,0.9471714499492279,0.8882758620689655,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,96.29629629629629,74.07407407407408,?
control_train,5,3,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,22.0,5.0,0.0,81.48148148148148,18.51851851851852,0.0,0.6280991735537189,0.24904378122100784,0.3715752941345486,49.8467433981401,74.35599491777437,26.978558328936565,17.246458285935844,9.73210004300072,0.9992058640346876,0.6387577142939201,0.36044814974076744,14.239172037215027,0.527376742119075,52.77958838127546,0.7692307692307693,10.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.23076923076923078,3.0,0.8333333333333334,0.7692307692307693,0.8,0.6298438669252061,0.8736263736263736,0.8595970269047192,0.8148148148148148,0.18844118844118843,0.8115588115588116,0.18518518518518517,0.8160493827160494,0.8148148148148148,0.8143039591315455,0.6298438669252062,0.8736263736263736,0.8761562934765549,0.8137931034482759,0.8148148148148148,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,88.88888888888889,?
control_train,5,4,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,25.0,2.0,0.0,92.5925925925926,7.407407407407407,0.0,0.850828729281768,0.18736915028734794,0.2907400604264681,37.50240985464581,58.180042636623284,26.978558328936565,10.790785157158586,16.187773171777977,0.9992058640346876,0.3996587095243921,0.5995471545102954,17.721980869758745,0.6563696618429165,65.68913228677074,0.8461538461538461,11.0,0.0,0.0,1.0,14.0,0.15384615384615385,2.0,1.0,0.8461538461538461,0.9166666666666666,0.8604560508152728,0.9560439560439561,0.9626696832579185,0.9259259259259259,0.07977207977207978,0.9202279202279202,0.07407407407407407,0.9351851851851852,0.9259259259259259,0.9253086419753087,0.8604560508152728,0.9560439560439561,0.9614692315672707,0.925,0.9259259259259259,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,81.48148148148148,?
control_train,5,5,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,24.0,3.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7792915531335148,0.17766659325532272,0.34039425660073735,35.56041849750373,68.11635222625713,26.978558328936565,18.153777481918123,8.824780847018442,0.9992058640346876,0.6723621289599305,0.3268437350747571,17.92386477786562,0.6638468436246526,66.43744472676624,1.0,13.0,0.21428571428571427,3.0,0.7857142857142857,11.0,0.0,0.0,0.8125,1.0,0.896551724137931,0.7989949043284676,0.9615384615384616,0.9627535925612849,0.8888888888888888,0.10317460317460317,0.8968253968253969,0.1111111111111111,0.9097222222222222,0.8888888888888888,0.8879693486590038,0.7989949043284675,0.9615384615384615,0.965737149560679,0.8882758620689655,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,92.5925925925926,66.66666666666667,?
control_train,5,6,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,19.0,8.0,0.0,70.37037037037037,29.62962962962963,0.0,0.4,0.23948126901961794,0.38354051583673937,47.932782368447626,76.75035745511782,26.978558328936565,15.289318185929599,11.689240143006966,0.9992058640346876,0.5662710439233185,0.43293482011136913,13.868552431548682,0.5136500900573586,51.405832225933295,0.5384615384615384,7.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.46153846153846156,6.0,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.41931393468876726,0.9340659340659341,0.9247291170368095,0.7037037037037037,0.30809930809930813,0.6919006919006918,0.2962962962962963,0.7201646090534979,0.7037037037037037,0.6952861952861953,0.41931393468876726,0.9340659340659341,0.9409514462146041,0.6931818181818181,0.7037037037037037,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,79.62962962962963,?
control_train,5,7,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,22.0,5.0,0.0,81.48148148148148,18.51851851851852,0.0,0.6239554317548746,0.21115341689258177,0.3339461468295727,42.262891038201005,66.82601989000564,26.978558328936565,12.402685928373016,14.575872400563549,0.9992058640346876,0.45935873808788946,0.5398471259467981,15.782136927676328,0.584523589913938,58.498815004316896,0.6153846153846154,8.0,0.0,0.0,1.0,14.0,0.38461538461538464,5.0,1.0,0.6153846153846154,0.761904761904762,0.6733804983414345,0.9505494505494505,0.9464074387151311,0.8148148148148148,0.19943019943019943,0.8005698005698006,0.18518518518518517,0.8635477582846005,0.8148148148148148,0.8067981401314733,0.6733804983414345,0.9505494505494504,0.955734988552326,0.8051948051948052,0.8148148148148148,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,74.07407407407408,?
control_train,5,8,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,24.0,3.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7768595041322313,0.1617245948490918,0.30521072922094555,32.36958715085086,61.07577061510762,26.978558328936565,13.616606775646433,13.361951553290131,0.9992058640346876,0.5043187694683864,0.49488709456630114,18.851538486742715,0.6982051291386191,69.87600396172022,0.8461538461538461,11.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.15384615384615385,2.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.7790174143548602,0.9285714285714286,0.9279017990556453,0.8888888888888888,0.11416361416361417,0.8858363858363858,0.1111111111111111,0.8907407407407406,0.8888888888888888,0.8885823754789272,0.7790174143548602,0.9285714285714285,0.9331735137290693,0.8882758620689655,0.8888888888888888,0.001,0.0,0.01,0.0,10.0,0.0,8417.0,23909.0,4007.0,96.29629629629629,68.51851851851852,?
control_train,5,9,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,242.0,26.0,23.0,3.0,0.0,88.46153846153847,11.538461538461538,0.0,0.7692307692307692,0.15144570189403128,0.24258031562796342,30.289140378806255,48.50140152096898,26.01134415302466,7.479901194814369,18.53144295821029,1.0004363135778715,0.28768850749286035,0.7127478060850112,18.751204896032917,0.7212001883089584,72.08856561091052,0.8461538461538461,11.0,0.07692307692307693,1.0,0.9230769230769231,12.0,0.15384615384615385,2.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.7715167498104596,0.9881656804733728,0.9885883347421809,0.8846153846153846,0.11538461538461539,0.8846153846153846,0.11538461538461539,0.886904761904762,0.8846153846153846,0.8844444444444444,0.7715167498104596,0.9881656804733728,0.9891659622428853,0.8844444444444444,0.8846153846153846,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,24002.0,3914.0,100.0,78.84615384615384,?
control_train,5,10,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,242.0,26.0,22.0,4.0,0.0,84.61538461538461,15.384615384615385,0.0,0.6923076923076923,0.20895530325537,0.32058552276434327,41.791060651074005,64.09772829733578,26.01134415302466,11.61859572369111,14.39274842933355,1.0004363135778715,0.4468690662958119,0.5535672472820596,15.609140114288582,0.6003515428572531,60.00897155664104,0.9230769230769231,12.0,0.23076923076923078,3.0,0.7692307692307693,10.0,0.07692307692307693,1.0,0.8,0.9230769230769231,0.8571428571428571,0.7006490497453707,0.9349112426035503,0.9368732574614929,0.8461538461538461,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.8545454545454546,0.8461538461538461,0.8452380952380951,0.7006490497453707,0.9349112426035503,0.9413827109885696,0.8452380952380951,0.8461538461538461,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,24002.0,3914.0,100.0,78.84615384615384,?
control_train,6,1,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,20.0,7.0,0.0,74.07407407407408,25.925925925925927,0.0,0.4764542936288088,0.22411037807111261,0.3749890321136673,44.856259625520735,75.03911860181043,26.978558328936565,15.535233383981826,11.443324944954739,0.9992058640346876,0.5753790142215491,0.4238268498131385,14.848072067836949,0.5499285951050722,55.036566026996546,0.6153846153846154,8.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.38461538461538464,5.0,0.8,0.6153846153846154,0.6956521739130435,0.48892055554204805,0.9175824175824175,0.8939751487828413,0.7407407407407407,0.26821326821326824,0.7317867317867318,0.25925925925925924,0.7511982570806099,0.7407407407407407,0.7363773310477377,0.48892055554204805,0.9175824175824175,0.9213211752462961,0.7349228611500701,0.7407407407407407,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,100.0,72.22222222222223,?
control_train,6,2,weka.classifiers.meta.ThresholdSelector,'-manual 0.6 -C 1 -X 3 -E 1 -R 0 -M TP_RATE -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1 -num-decimal-places 4',-1795038053239867444,2.02211102153E7,241.0,27.0,23.0,4.0,0.0,85.18518518518519,14.814814814814815,0.0,0.7032967032967034,0.2128332364851797,0.34694990526965463,42.599111183015985,69.42820418951557,26.978558328936565,15.407690655022021,11.570867673914544,0.9992058640346876,0.57065520944526,0.42855065458942754,15.919229840479133,0.5896011052029309,59.00697007743569,0.8461538461538461,11.0,0.14285714285714285,2.0,0.8571428571428571,12.0,0.15384615384615385,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7032967032967034,0.9120879120879121,0.8987235866195142,0.8518518518518519,0.14855514855514856,0.8514448514448515,0.14814814814814814,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.7032967032967035,0.9120879120879122,0.9191037780907062,0.8516483516483516,0.8518518518518519,0.001,0.0,0.0,0.0,0.0,0.0,8417.0,23909.0,4007.0,96.29629629629629,75.92592592592592,?
